Beer Style,Beer Substyle,Beer Name,Brewery,,,,,,,
India Pale Ales,IPA - Imperial,Devil Dancer,Founders Brewing Company,,,,,,,
India Pale Ales,IPA - Imperial,Hercules Double IPA,Great Divide Brewing Company,,,,,,,
India Pale Ales,IPA - Imperial,Double Crooked Tree IPA,Dark Horse Brewing Company,,,,,,,
India Pale Ales,IPA - Imperial,Lake Erie Monster,Great Lakes Brewing Co.,,,,,,,
India Pale Ales,IPA - Imperial,The Waldos' Special Ale,Lagunitas Brewing Company,,,,,,,
India Pale Ales,IPA - Imperial,Doom,Founders Brewing Company,,,,,,,
India Pale Ales,IPA - Imperial,Double Dog,Flying Dog Brewery,,,,,,,
India Pale Ales,IPA - Imperial,He'Brew Bittersweet Lenny's R.I.P.A.,Shmaltz Brewing Company,,,,,,,
India Pale Ales,IPA - Imperial,Hardcore IPA,BrewDog,,,,,,,
India Pale Ales,IPA - Imperial,Molotov Cocktail,Evil Twin Brewing,,,,,,,
India Pale Ales,IPA - Imperial,Mars (The Bringer Of War),Bell's Brewery - Eccentric Café & General Store,,,,,,,
India Pale Ales,IPA - New England,The Streets,Trillium Brewing Company,,,,,,,
Pale Ales,Blonde Ale - Belgian,Rince Cochon,Difcom,,,,,,,
Pale Ales,Blonde Ale - Belgian,Kasteel Blond,Brouwerij Van Honsebrouck N.V.,,,,,,,
Pale Ales,Farmhouse Ale - Bière de Garde,Gift Of The Magi,The Lost Abbey,,,,,,,
Pale Ales,Farmhouse Ale - Bière de Garde,Gavroche,Brasserie 3 MONTS,,,,,,,
Pale Ales,Farmhouse Ale - Bière de Garde,Amber Ale On Lees,Brasserie 3 MONTS,,,,,,,
Pale Ales,Farmhouse Ale - Bière de Garde,Saint Landelin La Divine,Les Brasseurs de Gayant,,,,,,,
Pale Ales,Farmhouse Ale - Saison,Interlude,Allagash Brewing Company,,,,,,,
Pale Ales,Farmhouse Ale - Saison,Farmhouse Ale (Big Beer Series),Smuttynose Brewing Company,,,,,,,
Pale Ales,Farmhouse Ale - Saison,Fantôme De Noel,Brasserie Fantôme,,,,,,,
Pale Ales,Red Ale - American Amber / Red,Game Of Thrones: Fire & Blood,Brewery Ommegang,,,,,,,
Pale Ales,Red Ale - American Amber / Red,Maple Nipple,Lawson's Finest Liquids,,,,,,,
Pale Lagers,Lager - European / Dortmunder Export,Imperial Dortmunder,Great Lakes Brewing Co.,,,,,,,
Pale Lagers,Lager - European Strong,Baltika #9 Extra (Strong),Baltika Breweries,,,,,,,
Pale Lagers,Lager - European Strong,Lion Imperial Premium Malt Pilsner,Ceylon / Lion Brewery Limited,,,,,,,
Pale Lagers,Lager - European Strong,Hevelius Kaper,Elbrewery Co. Ltd. Sp. z o.o.,,,,,,,
Pale Lagers,Lager - European Strong,Lobster Lovers Beer,Rinkuškiai,,,,,,,
Pale Lagers,Lager - Malt Liquor,Steel Reserve 211 (High Gravity),Steel Brewing Company,,,,,,,
Pale Lagers,Lager - Malt Liquor,Natty Daddy (8%),Anheuser-Busch,,,,,,,
Pale Lagers,Lager - Malt Liquor,St. Ides High Gravity Malt Liquor,Saint Ides Brewing Company,,,,,,,
Pale Lagers,Lager - Malt Liquor,Schlitz High Gravity V.S.L Very Smooth Lager,Pabst Brewing Company,,,,,,,
Pale Lagers,Pilsner - Imperial,Krampus,Southern Tier Brewing Company,,,,,,,
