key,Style_Key,ABV,Avg_Rating,Min_IBU,Max_IBU,Astringency,Body,Alcohol,Bitter,Sweet,Sour,Salty,Fruits,Hoppy,Spices,Malty
3874,89,9.5,4.29,50,80,5,103,20,78,51,5,0,6,39,14,141
3875,89,8.6,4.03,50,80,3,50,13,20,37,1,2,68,9,52,76
3876,89,9.5,4.23,50,80,15,138,25,66,98,5,0,11,39,48,137
3877,89,8.8,4.12,50,80,13,119,26,85,61,6,0,17,50,14,115
3878,89,10.5,4.42,50,80,8,129,42,61,73,3,0,3,17,161,132
3879,89,11.5,4.5,50,80,4,139,46,46,73,4,2,8,16,158,126
3880,89,14.9,4.44,50,80,5,89,83,34,68,8,0,35,6,19,119
3881,89,10.9,4.34,50,80,11,109,23,93,92,15,1,28,19,19,174
3882,89,19.6,4.59,50,80,6,82,51,27,69,7,0,14,5,25,88
3883,89,10.8,4.27,50,80,9,87,78,26,50,5,0,8,12,20,112
3884,89,9.7,4.01,50,80,8,88,21,54,76,18,0,39,32,18,112
3885,89,12.0,4.37,50,80,8,106,84,46,76,10,0,24,16,23,120
3886,89,16.0,4.47,50,80,8,92,79,71,83,12,0,24,12,8,151
3887,89,8.1,4.15,50,80,11,73,20,64,54,13,0,19,49,8,98
3888,89,15.0,4.54,50,80,2,86,83,35,53,0,1,12,4,81,75
3889,89,11.5,4.15,50,80,10,93,86,41,64,3,2,7,20,30,195
3890,89,10.0,4.23,50,80,5,108,17,70,87,2,0,1,18,8,126
3891,89,12.0,4.54,50,80,10,68,63,60,70,12,0,11,16,12,147
3892,89,12.7,4.35,50,80,2,113,98,83,88,3,0,10,11,47,189
3893,89,10.0,4.17,50,80,14,85,26,65,79,9,0,14,21,29,105
3894,89,12.0,4.31,50,80,12,115,48,95,103,17,0,27,36,24,143
3895,89,12.5,4.48,50,80,3,101,88,52,80,2,0,7,15,30,142
3896,89,13.0,4.34,50,80,11,112,48,80,61,9,0,17,14,88,137
3897,89,11.9,4.47,50,80,3,80,38,24,75,4,0,5,4,11,109
3898,89,10.0,4.16,50,80,15,108,18,58,55,4,0,4,28,10,107
3899,89,12.0,4.51,50,80,7,141,20,114,55,4,0,3,21,18,174
3900,89,14.9,4.63,50,80,7,111,68,33,74,3,1,4,16,79,133
3801,88,6.0,4.0,35,60,17,94,15,80,53,4,1,6,32,14,121
3802,88,5.8,4.19,35,60,6,130,8,81,109,6,0,9,53,11,143
3803,88,6.4,4.21,35,60,9,72,23,95,72,12,0,13,67,6,132
3804,88,5.8,4.08,35,60,8,88,9,75,37,9,0,4,62,5,108
3805,88,5.2,3.76,35,60,13,73,14,84,50,10,0,11,37,21,104
3806,88,7.5,3.96,35,60,17,71,19,146,47,9,0,11,24,10,178
3807,88,7.0,3.58,35,60,10,69,15,24,77,56,1,93,9,6,91
3808,88,6.5,4.0,35,60,9,91,10,49,55,6,0,6,24,39,85
3809,88,7.5,3.99,35,60,9,69,5,47,138,11,0,90,25,11,92
3810,88,6.5,4.21,35,60,7,112,20,62,63,7,2,13,32,49,108
3811,88,6.9,3.81,35,60,8,78,71,23,55,19,1,18,7,15,123
3812,88,6.0,3.96,35,60,7,64,5,37,32,0,0,3,21,55,61
3813,88,6.2,4.08,35,60,10,74,12,82,70,15,0,15,26,16,140
3814,88,6.3,3.78,35,60,10,77,10,91,50,7,0,9,65,11,111
3815,88,7.6,4.55,35,60,11,128,10,100,122,22,0,12,14,23,211
3816,88,5.0,3.88,35,60,18,79,5,66,59,2,0,2,18,5,139
3817,88,6.4,3.46,35,60,23,91,11,98,33,7,0,1,19,10,147
3818,88,5.75,3.9,35,60,15,83,11,95,47,14,0,10,23,7,139
3819,88,7.4,4.23,35,60,14,111,14,121,72,6,0,10,32,13,192
