beer_name,beer_style,brewery,abv,rating,astringent,body,alcoholic,bitter,sweet,sour,salty,fruity,hoppy,spices,malty
Samuel Adams Chocolate Bock,Bock - Traditional,Boston Beer Company (Samuel Adams),5.8%,3.67,16,346,19,85,273,22,0,19,47,20,16
Michelob AmberBock,Bock - Traditional,Anheuser-Busch,5.2%,2.9,37,88,8,49,119,17,0,15,60,6,37
Samuel Adams Cherry Chocolate Bock,Bock - Traditional,Boston Beer Company (Samuel Adams),5.8%,3.51,15,253,28,50,317,40,0,234,25,15,15
Uff-da,Bock - Traditional,New Glarus Brewing Company,6.7%,3.84,28,144,44,84,174,35,0,37,68,5,28
Samuel Adams The Vixen,Bock - Traditional,Boston Beer Company (Samuel Adams),8.5%,3.7,12,258,54,65,203,26,0,25,29,213,12
St. Nikolaus Bock Bier,Bock - Traditional,Pennsylvania Brewing Company,6%,3.97,36,125,19,81,142,29,2,33,83,38,36
Spring Bock,Bock - Traditional,Saint Arnold Brewing Company,6.9%,3.63,38,77,41,76,151,45,2,47,99,18,38
Pandora's Bock,Bock - Traditional,Breckenridge Brewery,7.5%,3.45,23,94,27,47,142,37,0,45,66,17,23
Genesee Spring Bock,Bock - Traditional,Genesee Brewing Co. / Dundee Brewing Co.,5.2%,3.48,46,101,12,58,141,29,2,26,75,6,46
Ur-Bock Dunkel,Bock - Traditional,Einbecker Brauhaus,6.5%,3.73,37,96,43,106,147,35,3,36,131,13,37
La Trappe Bockbier,Bock - Traditional,Bierbrouwerij De Koningshoeven B.V.,7%,4.01,33,118,33,61,159,56,0,56,64,41,33
Christmas Bock,Bock - Traditional,Mahr's Bräu,6%,3.69,45,95,29,68,146,46,1,51,99,50,45
Noche Buena,Bock - Traditional,"Cervecería Cuauhtémoc Moctezuma, S.A. de C.V.",5.9%,3.39,30,72,13,60,110,13,1,22,78,22,30
Schell's Bock,Bock - Traditional,August Schell Brewing Company,6.5%,3.89,31,112,28,68,163,37,0,53,86,8,31
Schokolade Bock,Bock - Traditional,Millstream Brewing Company,6%,4,28,168,22,77,182,26,1,31,52,17,28
Creemore Springs UrBock,Bock - Traditional,Creemore Springs Brewery Limited,6%,3.65,22,106,29,62,148,33,1,39,79,14,22
Holsten Festbock,Bock - Traditional,Holsten-Brauerei,7%,3.33,11,81,58,54,118,25,0,38,54,6,11
Mountain Holidays In Vermont,Bock - Traditional,Rock Art Brewery,5.8%,3.64,26,180,35,81,173,52,2,47,83,43,26
Tap 6: Mein Aventinus,Bock - Weizenbock,Schneider Weisse G. Schneider & Sohn,8.2%,4.35,23,107,72,19,171,80,0,115,22,63,23
Vitus,Bock - Weizenbock,Bayerische Staatsbrauerei Weihenstephan,7.7%,4.3,40,124,65,22,95,91,2,139,32,88,40
