beer_id,beer_name,beer_style,style_key,brewery,description,abv,ave_rating,Min_IBU,Max_IBU,astringency,body,alcohol,bitter,sweet,sour,salty,fruits,hoppy,spices,malty
6097,Hefe-Weissbier Naturtrüb,Wheat Beer - Hefeweizen,,Paulaner Brauerei,,5.5,4.07,,,9,32,3,8,14,15,0,34,16,17,9
6098,Hefeweissbier,Wheat Beer - Hefeweizen,,Bayerische Staatsbrauerei Weihenstephan,,5.4,4.45,,,4,24,8,4,14,11,0,29,3,14,4
6099,Heineken Lager Beer,Lager - European Pale,,Heineken Nederland B.V.,,5,2.74,,,14,10,4,5,14,6,0,3,12,2,14
6100,Hennepin,Farmhouse Ale - Saison,,Brewery Ommegang,,7.7,4.18,,,13,18,13,11,20,25,1,29,18,26,13
6101,Hercules Double IPA,IPA - Imperial,,Great Divide Brewing Company,,10,4.15,,,12,25,15,48,42,34,0,43,66,3,12
6102,Hoegaarden Original White Ale,Wheat Beer - Witbier,,Brouwerij van Hoegaarden,,4.9,3.82,,,2,16,0,6,6,23,0,26,12,16,2
6103,Honker's Ale,Bitter - English,,Goose Island Beer Co.,,4.3,3.67,,,7,13,3,24,26,16,0,11,25,1,7
6104,Hop Nosh IPA,IPA - American,,Uinta Brewing Company,,7.3,4.03,,,5,17,4,42,25,22,0,26,61,4,5
6105,Hop Rod Rye,Rye Beer,,Bear Republic Brewing Co.,,8,4.24,,,7,39,9,42,28,21,0,19,65,24,7
6106,Hop Stoopid,IPA - Imperial,,Lagunitas Brewing Company,,8,4.21,,,22,14,6,48,33,23,0,34,61,0,22
6107,Hop Wallop,IPA - American,,Victory Brewing Company - Downingtown,,7.5,4.12,,,9,19,5,34,17,26,4,29,60,1,9
6108,HopDevil,IPA - American,,Victory Brewing Company - Downingtown,,6.7,4.08,,,11,13,3,43,28,14,0,18,60,6,11
6109,Hopsecutioner,IPA - American,,Terrapin Beer Company,,7.3,3.83,,,17,18,11,51,17,19,4,20,61,3,17
6110,Hopslam Ale,IPA - Imperial,,Bell's Brewery - Eccentric Café & General Store,,10,4.49,,,10,22,13,44,59,22,1,33,54,3,10
6111,Hoptimum,IPA - Imperial,,Sierra Nevada Brewing Co.,,11,4.21,,,4,23,18,44,41,16,0,23,60,3,4
6112,Hunahpu's Imperial Stout,Stout - American Imperial,,Cigar City Brewing,,10.2,4.62,,,4,42,20,29,32,6,1,13,11,53,4
6113,Imperial Biscotti Break,Stout - American Imperial,,Evil Twin Brewing,,11.5,4.36,,,10,44,17,42,34,4,0,1,15,17,10
6114,Imperial Russian Stout,Stout - Russian Imperial,,Stone Brewing,,10.6,4.35,,,2,50,17,35,33,8,0,10,22,5,2
6115,Imperial Stout,Stout - Russian Imperial,,Founders Brewing Company,,10.5,4.38,,,5,46,14,43,34,6,0,8,25,11,5
6116,Imperial Stout,Stout - Russian Imperial,,Samuel Smith Old Brewery (Tadcaster),,7,4.19,,,9,50,12,39,44,19,1,23,24,4,9
6117,Indian Brown Ale,Brown Ale - American,,Dogfish Head Craft Brewery,,7.2,4.12,,,4,18,6,40,25,9,0,10,40,6,4
6118,IPA,IPA - American,,Lagunitas Brewing Company,,6.2,3.91,,,5,13,2,25,16,18,0,21,38,2,5
6119,IPA,IPA - American,,AleSmith Brewing Company,,7.25,4.24,,,9,8,2,41,20,22,0,27,58,0,9
6120,IPA,IPA - English,,Harpoon Brewery & Beer Hall,,5.9,3.64,,,11,20,2,41,16,21,0,28,60,1,11
6121,IPA,IPA - American,,SweetWater Brewing Company,,6.3,3.98,,,9,21,7,37,30,31,0,43,48,6,9
6122,Jai Alai IPA,IPA - American,,Cigar City Brewing,,7.5,4.29,,,7,17,5,31,23,41,2,39,36,1,7
6123,Julius,IPA - New England,,Tree House Brewing Company,,6.8,4.68,,,8,27,2,25,26,48,0,87,26,1,8
6124,Kalamazoo Stout,Stout - American,,Bell's Brewery - Eccentric Café & General Store,,6,4,,,14,60,12,62,38,4,0,3,35,7,14
6125,KBS,Stout - American Imperial,,Founders Brewing Company,,12.3,4.65,,,2,35,23,24,22,0,0,2,4,5,2
6126,Kellerweis,Wheat Beer - Hefeweizen,,Sierra Nevada Brewing Co.,,4.8,4.07,,,3,12,1,5,7,2,0,17,6,6,3
6127,La Fin Du Monde,Tripel,,Unibroue,,9,4.36,,,12,17,12,6,24,34,1,34,10,30,12
6128,La Folie,Sour - Flanders Oud Bruin,,New Belgium Brewing Company,,7,4.28,,,15,19,2,1,38,65,0,32,8,2,15
6129,Lager,Lager - American Amber / Red,,Brooklyn Brewery,,5.2,3.74,,,9,15,4,33,25,14,0,15,44,3,9
6130,Lagunitas Sucks,IPA - Imperial,,Lagunitas Brewing Company,,7.85,4.35,,,17,24,9,58,51,34,1,49,74,9,17
6131,Leffe Blonde,Blonde Ale - Belgian,,Abbaye de Leffe S.A.,,6.6,3.61,,,8,11,9,6,25,7,0,9,11,23,8
6132,Loose Cannon,IPA - American,,Heavy Seas Beer,,7.25,4.02,,,10,23,6,45,26,39,0,47,59,5,10
6133,Lunch,IPA - American,,Maine Beer Company,,7,4.39,,,13,22,2,33,38,37,0,50,61,1,13
6134,Maharaja,IPA - Imperial,,Avery Brewing Company,,10.2,4.25,,,7,18,23,39,26,30,0,37,58,0,7
6135,Matilda,Strong Ale - Belgian Pale,,Goose Island Beer Co.,,7,4.06,,,5,14,4,7,34,42,0,25,11,17,5
6136,Maudite,Dubbel,,Unibroue,,8,4.22,,,8,16,6,11,47,16,0,21,10,23,8
6137,Maximus,IPA - Imperial,,Lagunitas Brewing Company,,9,4.01,,,11,28,13,48,29,21,1,24,66,1,11
6138,Midas Touch,Herb and Spice Beer,,Dogfish Head Craft Brewery,,9,3.76,,,9,21,8,11,66,22,0,34,19,9,9
6139,Milk Stout,Stout - Sweet / Milk,,Left Hand Brewing Company,,6,4,,,5,53,4,28,34,9,0,7,14,1,5
6140,Miller High Life,Lager - Adjunct,,Miller Brewing Co.,,4.6,2.71,,,8,13,10,9,20,8,7,7,8,3,8
6141,Miller Lite,Lager - Light,,Miller Brewing Co.,,4.17,2.17,,,6,4,4,4,12,5,2,4,9,1,6
6142,Mirror Pond Pale Ale,Pale Ale - American,,Deschutes Brewery,,5,3.91,,,18,18,4,33,22,22,0,25,53,1,18
6143,Narwhal,Stout - Russian Imperial,,Sierra Nevada Brewing Co.,,10.2,4.18,,,4,63,22,69,38,3,0,7,40,6,4
6144,Negra Modelo,Lager - Munich Dunkel,,Grupo Modelo S.A. de C.V.,,5.4,3.37,,,8,15,2,10,17,2,0,7,14,2,8
6145,Nelson,IPA - American,,Alpine Beer Company,,7,4.45,,,15,29,4,28,44,44,0,80,48,12,15
6146,Newcastle Brown Ale,Brown Ale - English,,Heineken Nederland B.V.,,4.7,3.33,,,5,21,4,9,24,8,0,9,11,1,5
6147,Northern Hemisphere Harvest Wet Hop IPA,IPA - American,,Sierra Nevada Brewing Co.,,6.7,4.17,,,13,23,2,50,22,17,1,19,82,0,13
6148,Nugget Nectar,Red Ale - Imperial,,Tröegs Brewing Company,,7.5,4.33,,,24,28,5,59,41,33,0,46,82,5,24
6149,Nut Brown Ale,Brown Ale - English,,Samuel Smith Old Brewery (Tadcaster),,5,4.1,,,4,23,3,6,17,9,0,13,8,1,4
6150,Oak Aged Yeti Imperial Stout,Stout - American Imperial,,Great Divide Brewing Company,,9.5,4.28,,,8,54,18,28,41,4,0,7,12,6,8
6151,OAKED Arrogant Bastard Ale,Strong Ale - American,,Arrogant Consortia,,7.2,4.23,,,11,32,19,53,32,20,0,19,70,12,11
